WorkoutId,MaxTargets,MaxDodges,MaxKneeStrikes,MaxScore
2412,1307,513,,497
2329,1248,570,,499
2416,560,331,,234
2417,418,192,,162
2415,834,377,,331
2418,1201,893,,541
2422,3369,1493,,1334
2428,1276,574,,502
2426,1298,984,,596
2492,1255,959,,580
2364,1230,0,,382
2338,364,451,,213
2354,1267,347,,455
2498,1436,697,,578
2505,1851,1010,,763
2344,1202,611,,483
2368,1678,825,,685
2292,1050,380,,400
2424,825,466,0,352
2378,406,358,0,192
2433,795,158,0,272
2347,401,139,0,147
2494,1081,744,0,480
2502,1517,1412,0,766
2520,535,394,0,242
2513,1927,1172,0,833
2518,1838,663,0,689
2534,1317,379,0,471
2420,597,475,0,274
2526,529,203,0,203
2527,531,377,0,239
2525,865,305,0,324
2528,3611,1857,0,1531
2539,726,383,0,298
2533,0,,0,
2448,0,,0,
2536,1272,672,0,526
2546,0,,0,
2549,0,,0,
2544,0,,0,
2550,0,,0,
2555,0,,0,
2586,548,0,0,175
2585,600,341,0,248
2440,822,226,0,294
2587,1382,674,0,561
2405,449,178,38,181
2407,300,283,57,160
2406,384,186,80,166
2530,882,451,122,386
2516,563,342,218,290
