WorkoutId,GenreIdList
157
157
175,19
176,19
176, 23
181
181
183
183
195,19
195, 20
195, 22
196
196
197,21
199,19
200,19
212,19
212, 20
213,20
216
216
217,19
230
230
233,19
244
244
246,20
246, 23
249
249
253,19
265,19
266,23
269,19
269, 22
270,20
271,20
272,19
272, 21
275,19
277,22
278,20
279,20
280,19
281,21
282,19
282, 20
283,22
284,19
285,21
285, 22
295,19
296,20
297,21
299,20
300,20
303,19
304,20
305,22
306,19
306, 20
307,19
307, 22
308,19
309,19
309, 21
312,19
312, 22
313,22
315,23
316,19
317,19
318,20
319,19
323,19
326,19
326, 23
327,20
328,19
328, 20
329,20
330,19
334,21
335,20
336,19
336, 23
338,20
339,19
339, 22
340,20
340, 22
341,20
344,20
347,23
348,19
349,20
351,22
352,20
353,20
353, 22
354,23
355
355
356,20
357,20
358,22
362,20
364,19
364, 21
366,23
370,20
371,19
371, 23
372,21
373,20
374,22
375,19
375, 20
375, 23
379,19
379, 20
381,20
383,21
384,20
385,20
386,20
388,22
389,19
390,23
392,20
396,22
397,20
397, 22
399
399
400
400
401
401
402
402
408,20
410,19
411,21
413
413
423,20
424,20
425,19
425, 22
426,22
427,20
427, 21
428,19
429
429
430,19
438,20
445,19
445, 20
449,20
450,24
452,23
453,20
454,20
455,21
457,20
458,20
461,20
464,20
466,20
467,22
474,20
475,25
476,19
477,19
477, 22
478,20
479,19
479, 23
480,19
481,19
481, 20
482,20
485,19
486,20
487,20
488,22
490,20
492,19
492, 20
493,22
496,20
497,19
498
498
499,20
500,19
501,19
502,20
503,19
503, 22
505,23
506,20
507,21
508,23
509,19
510,20
511,20
516,22
517,21
518,21
519
519
520,20
521,23
522,20
523,20
526,22
527,19
528,21
528, 22
529
529
530
530
531,22
532,24
533,20
535,22
536,21
537,19
537, 20
546,20
549,20
550,20
551,19
552,20
555,23
556,19
557,20
558,19
558, 20
559,19
560,20
561
561
562,19
562, 20
563,24
564,19
566,22
567,21
568,21
568, 22
569
569
570,20
571,19
571, 22
572,19
572, 20
573,20
575
575
576
576
577,20
578,20
579,19
580,20
581,20
582,19
582, 22
583,19
583, 22
584,19
584, 20
585,19
586,20
588,19
589,20
590,19
590, 20
591,19
592,20
593,21
594,20
594, 21
595,23
596,20
598
598
600
600
601,19
603,19
604,20
605,19
605, 20
606,21
606, 22
607,23
608,25
609,20
610,20
613
613
615
615
616,22
617,21
618,19
619,20
620,22
621,19
621, 21
621, 22
622,23
623,19
624,21
624, 22
625,21
626,19
626, 20
628,20
632,22
633,22
634,22
634, 23
636,22
637,22
638,19
639,19
640,23
641
641
644,21
644, 22
645,19
645, 23
650,21
651,19
652,22
653,20
654,20
656,20
657,19
657, 22
660,20
661,20
662,24
663
663
666,20
667,19
667, 20
669,20
670,20
671,19
671, 22
672,23
674,20
675,21
676
676
677,20
684,19
685,22
686,20
687,19
688,22
688, 23
689,21
690,20
693
693
695,21
698,21
717,19
703,22
704,21
704, 22
680,20
705,21
706,19
707,22
713
713
708,24
701,19
701, 20
682,23
681,19
738
738
635,20
635, 22
719,20
720,22
721,20
742
742
655,20
655, 23
722,19
722, 21
723,20
724,22
726,19
725,21
679,20
679, 23
710,19
711,19
711, 22
712,19
712, 21
712, 22
714
714
728,20
699,21
699, 22
730,20
731,19
731, 22
732,20
739
739
673,19
673, 20
733,22
734,19
735,22
735, 23
700,20
736,25
737,19
737, 20
750,22
751,19
752,24
753,20
754,19
754, 20
782
782
757,21
756,20
697,19
697, 20
758,19
759,20
760,20
783
783
767,20
768,21
769,20
761,20
770,22
770, 23
702,19
702, 20
771,20
772,19
772, 20
773,20
776,22
765
765
774,20
775,21
648,21
649,22
646,20
611,19
643,19
643, 20
755,23
786,20
787,23
788,22
790,20
789,19
789, 22
799
799
792,19
792, 22
793,19
793, 20
791,21
791, 22
795,23
803,20
803, 23
810,22
810, 23
794,19
794, 20
808,19
804,21
804, 22
814
814
807,23
805,22
806,19
802,21
802, 22
801,23
832
832
818,19
818, 21
811,19
812,20
809,20
819,20
822,21
864
864
784
784
821,22
820,20
823,23
824,104
817,19
817, 22
825,20
876,19
876, 22
856,22
856, 23
862
862
855,25
882
882
850,20
827,24
857,23
858,21
668,22
869,19
869, 20
878,22
878, 23
871,23
877,19
