SN ID,SN ID (from Songs),SN ID (from Locations)
2027,2629,99
2027,2631,74
2027,1409,106
2027,2645,16
2028,2096,104
2028,493,1
2028,482,11
2028,1789,26
2028,1120,25
2028,2683,54
2028,490,42
2028,485,40
2028,293,113
2026,2700,33
2026,2441,143
2026,2442,97
2025,1840,140
2025,2692,41
2025,511,62
2025,2691,28
2025,2690,139
2022,2371,46
2022,1677,66
2024,1675,99
2024,2012,70
2023,2283,8
2023,1548,118
2012,2669,138
2012,324,51
2012,2670,91
2012,2671,17
2020,2682,69
2020,1139,20
2020,2679,45
2020,2308,56
2020,1119,112
2020,1644,93
1998,1215,136
1998,2627,37
1998,2628,116
1998,1911,95
1998,1233,38
2040,469,146
2011,1657,86
2011,710,124
2011,1659,94
2011,2666,118
2009,1132,43
2009,1998,110
2009,1795,48
2008,2675,101
2008,2676,67
2008,2677,64
2008,2431,108
2008,2678,82
1999,2623,69
1999,2624,25
1999,2625,60
2007,2318,97
2007,2068,2
2007,2674,5
2007,2672,59
2007,1584,66
2010,1214,142
2010,1607,50
2010,862,123
2010,1608,73
2010,2640,81
1937,2557,59
1937,2555,117
1937,2556,11
1937,1389,90
1937,2554,8
1995,2636,17
1995,756,91
1995,2637,62
1995,2638,80
1995,2639,27
1944,323,146
1944,1664,65
1944,2113,64
1994,2348,67
1994,2382,45
1917,774,89
1917,1679,111
1993,517,20
1993,1996,6
1975,2584,66
1975,2585,38
1975,2586,16
1991,2621,37
1991,2622,87
1991,584,143
1991,1944,13
1991,1380,18
1991,1066,100
1951,2588,84
1951,1897,35
1951,2590,55
2016,775,138
1988,2606,95
1988,2607,28
1988,2608,140
1988,2609,35
1988,2119,78
1986,2646,59
1986,2641,112
1986,1531,101
1986,2643,47
